study,Arm,Year,ind_clu,ICC_for_cRCT,Country,Single_multi,Age_mean,Age_sd,Age_n,F_n,Hyp_n,Insomnia diagnosis,Dx,Primary insomnia_n,Comorbidities,Comment,se,sd,cr,th,cw,sr,sc,re,pi,w,dt,ns,he,tg,ind,gp,ff,ae,treatment_component,treatment_group,treatment_binary,duration_weeks,n,r,remission,def_remission_response,scale used,Severity_bl_mean,Severity_bl_sd,Severity_bl_n,Severity_ch_mean,Severity_ch_sd,Severity_ch_n,Severity_ep_mean,Severity_ep_sd,Severity_ep_n,Severity_scale,r_imputed,dropout,SE_mean,SE_sd,SE_n,TST_mean,TST_sd,TST_n,SOL_mean,SOL_sd,SOL_n,WASO_mean,WASO_sd,WASO_n,r_long,remission_long,r_long_scale_used,Severity_mean_long,Severity_sd_long,Severity_n_long,Severity_ch_mean_long,Severity_ch_sd_long,Severity_ch_n_long,r_imputed_long,r_imputed_long_scale_used,r_weeks_long,DropOutRate,Overall
Abbasi2016,Control,2016,Individual,*,Iran,multi,33.2,8.9,36,36,*,2. informal_PSQI,2,0,3. phy_others,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,w+dt+ind+gp+ff,WL,control,8,36,0,*,,,13.44,3.73396572,33,,,,13,2.75739007,33,PSQI,0,3,,,,,,,,,,,,,*,*,*,*,*,*,*,*,*,*,*,*,8.3,S
Abbasi2016,Intervention,2016,Individual,*,Iran,multi,35.3,5.3,36,36,*,2. informal_PSQI,2,0,3. phy_others,,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,se+cr+sr+re+dt+ns+ind+gp+ff,CBT,active,8,36,2,*,,,14.58,4.940323876,33,,,,11.73,3.73396572,33,PSQI,2,3,,,,,,,,,,,,,*,*,*,*,*,*,*,*,*,*,*,*,8.3,S
Abdelaziz2021,Control,2021,Individual,*,Saudi Arabia,multi,52.23,4.31,40,40,*,2. informal_ISI,2,0,3. phy_menopause,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sd,PE,control,6,49,6,*,,,11.68,3.6,40,,,,11.2,3.42,40,ISI,6,9,63.71,21.11,40,340.8,68.4,40,25.78,17.7,40,,,,*,*,*,*,*,*,*,*,*,*,*,*,18.4,H
Abdelaziz2021,Study,2021,Individual,*,Saudi Arabia,multi,53.9,4.14,40,40,*,2. informal_ISI,2,0,3. phy_menopause,,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,se+sd+cr+th+cw+sr+sc+re+ns+he+tg,CBT,active,6,49,16,*,,,13.4,4.35,40,,,,8.3,3.43,40,ISI,16,9,78.53,15.75,40,391.8,96,40,18.33,12.41,40,,,,*,*,*,*,*,*,*,*,*,*,*,*,18.4,H
Ahorsu2020,CBT-I,2020,Individual,*,Iran,multi,38.37,13.45,160,97,*,2. informal_ISI,2,0,3. phy_others,,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,se+sd+cr+th+sc+re+pi+ns+he,CBT,active,6,160,9,*,,,20.29,4.56,160,,,,13,3.44,160,ISI,9,16,76.22,23.12,160,398.7,97.73,160,24.22,19.81,160,38.07,26.89,160,9,*,*,12.81,3.35,160,*,*,*,9,ISI,24,9.1,S
Ahorsu2020,PE,2020,Individual,*,Iran,multi,37.99,9.88,160,90,*,2. informal_ISI,2,0,3. phy_others,,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,se+sd+w+ns,WL,control,6,160,2,*,,,20.08,2.69,160,,,,17.29,4.46,160,ISI,2,13,72.45,22.18,160,392.63,93.73,160,28.05,16.47,160,40.71,22.95,160,3,*,*,17.32,4.78,160,*,*,*,3,ISI,24,9.1,S
Alessi2016,Individual,2016,Individual,*,USA,multi,72.1,7.9,54,2,*,1. formal_ICSD,1,*,4. psy_phy_mixed,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+cr+sr+sc+dt+ns+ind+ff,CBT,active,6,54,33,*,,,11.7,5.3,54,,,,6,5.252872521,54,ISI,33,4.5,85.9,11.03103229,54,,,,18.7,21.01149008,54,24.7,29.41608612,54,31,*,*,6.5,5.252872521,54,*,*,*,31,ISI,48,5.7,H
Alessi2016,Group,2016,Individual,*,USA,multi,72.1,7.9,52,2,*,1. formal_ICSD,1,*,4. psy_phy_mixed,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,se+sd+cr+sr+sc+dt+ns+gp+ff,CBT,active,6,52,32,*,,,11.7,5.3,52,,,,6,5.252872521,52,ISI,32,4.5,85.9,11.03103229,52,,,,18.7,21.01149008,52,24.7,29.41608612,52,30,*,*,6.5,5.252872521,52,*,*,*,30,ISI,48,5.7,H
Alessi2016,Control,2016,Individual,*,USA,multi,72.4,7.3,53,1,*,1. formal_ICSD,1,*,4. psy_phy_mixed,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,se+sd+dt+ns+gp+ff,PE,control,6,53,21,*,,,10.1,5.2,53,,,,8.9,5.200078492,53,ISI,21,0,76.2,10.77159116,53,,,,36.3,20.05744561,53,44.7,28.60043171,53,26,*,*,7.7,5.200078492,53,*,*,*,26,ISI,48,5.7,H
Alshehri2020,CBT-I,2020,Individual,*,USA,single,61.86,6.48,14,10,3,2. informal_ISI,2,0,3. phy_diabetes,,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,se+sd+cr+th+sr+sc+re+dt+ns+ind+ff,CBT,active,6,14,8,*,,,16.15,3.24,14,,,,6.31,3.38,13,ISI,8,1,94.78,2.96,13,428.61,44.06,13,11.11,5.38,13,6.43,6.82,13,*,*,*,*,*,*,*,*,*,*,*,*,7.1,S
